item1,item2,value1,value2,value3,value4,value5,value6,value7,value8
"112年 1月",連江縣,31,4,25,2,0,0,0,6.45
"112年 1月",金門縣,31,5,23,2,1,0,0,9.68
"112年 1月",嘉義市,31,5,19,5,2,0,0,22.58
"112年 1月",新竹市,31,15,16,0,0,0,0,0
"112年 1月",基隆市,31,15,16,0,0,0,0,0
"112年 1月",澎湖縣,31,14,17,0,0,0,0,0
"112年 1月",花蓮縣,31,29,2,0,0,0,0,0
"112年 1月",臺東縣,31,31,0,0,0,0,0,0
"112年 1月",屏東縣,93,29,44,20,0,0,0,21.51
"112年 1月",嘉義縣,62,11,39,12,0,0,0,19.35
"112年 1月",雲林縣,62,10,38,12,2,0,0,22.58
"112年 1月",南投縣,62,13,39,9,1,0,0,16.13
"112年 1月",彰化縣,62,14,39,8,1,0,0,14.52
"112年 1月",苗栗縣,62,31,31,0,0,0,0,0
"112年 1月",新竹縣,62,33,27,2,0,0,0,3.23
"112年 1月",宜蘭縣,62,48,14,0,0,0,0,0
"112年 1月",高雄市,248,9,180,59,0,0,0,23.79
"112年 1月",臺南市,124,12,91,18,3,0,0,16.94
"112年 1月",臺中市,155,67,82,6,0,0,0,3.87
"112年 1月",桃園市,124,57,64,3,0,0,0,2.42
"112年 1月",臺北市,155,68,87,0,0,0,0,0
"112年 1月",新北市,279,145,134,0,0,0,0,0
"112年 1月",總計,1860,665,1027,158,10,0,0,9.03
"111年 12月",連江縣,31,16,14,1,0,0,0,3.23
"111年 12月",金門縣,31,12,19,0,0,0,0,0
"111年 12月",嘉義市,31,19,12,0,0,0,0,0
"111年 12月",新竹市,31,26,5,0,0,0,0,0
"111年 12月",基隆市,31,25,6,0,0,0,0,0
"111年 12月",澎湖縣,31,25,6,0,0,0,0,0
"111年 12月",花蓮縣,31,31,0,0,0,0,0,0
"111年 12月",臺東縣,31,31,0,0,0,0,0,0
"111年 12月",屏東縣,93,34,49,10,0,0,0,10.75
"111年 12月",嘉義縣,62,40,22,0,0,0,0,0
"111年 12月",雲林縣,62,34,28,0,0,0,0,0
"111年 12月",南投縣,62,37,25,0,0,0,0,0
"111年 12月",彰化縣,62,40,22,0,0,0,0,0
"111年 12月",苗栗縣,62,56,6,0,0,0,0,0
"111年 12月",新竹縣,62,55,7,0,0,0,0,0
"111年 12月",宜蘭縣,62,60,2,0,0,0,0,0
"111年 12月",高雄市,248,39,203,6,0,0,0,2.42
"111年 12月",臺南市,124,57,66,1,0,0,0,0.81
"111年 12月",臺中市,155,127,28,0,0,0,0,0
"111年 12月",桃園市,124,96,28,0,0,0,0,0
"111年 12月",臺北市,155,86,69,0,0,0,0,0
"111年 12月",新北市,279,195,84,0,0,0,0,0
"111年 12月",總計,1860,1141,701,18,0,0,0,0.97
"111年 11月",連江縣,30,20,10,0,0,0,0,0
"111年 11月",金門縣,30,15,15,0,0,0,0,0
"111年 11月",嘉義市,30,8,19,3,0,0,0,10
"111年 11月",新竹市,30,23,7,0,0,0,0,0
